IdMovie,title
2,Ariel
3,Shadows in Paradise
5,Four Rooms
6,Judgment Night
11,Star Wars
12,Finding Nemo
13,Forrest Gump
14,American Beauty
15,Citizen Kane
16,Dancer in the Dark
17,The Dark
18,The Fifth Element
19,Metropolis
20,My Life Without Me
21,The Endless Summer
22,Pirates of the Caribbean: The Curse of the Black Pearl
24,Kill Bill: Vol. 1
25,Jarhead
26,Walk on Water
27,9 Songs
28,Apocalypse Now
30,Magnetic Rose
33,Unforgiven
35,The Simpsons Movie
38,Eternal Sunshine of the Spotless Mind
55,Amores perros
58,Pirates of the Caribbean: Dead Man's Chest
59,A History of Violence
62,2001: A Space Odyssey
63,Twelve Monkeys
64,Talk to Her
65,8 Mile
66,Absolute Power
67,Paradise Now
68,Brazil
69,Walk the Line
70,Million Dollar Baby
71,Billy Elliot
73,American History X
74,War of the Worlds
75,Mars Attacks!
76,Before Sunrise
77,Memento
78,Blade Runner
79,Hero
80,Before Sunset
81,Nausicaä of the Valley of the Wind
82,Miami Vice
83,Open Water
85,Raiders of the Lost Ark
86,The Elementary Particles
87,Indiana Jones and the Temple of Doom
88,Dirty Dancing
89,Indiana Jones and the Last Crusade
90,Beverly Hills Cop
91,Land Without Bread
92,Megacities
93,Anatomy of a Murder
95,Armageddon
96,Beverly Hills Cop II
97,Tron
98,Gladiator
99,All About My Mother
100,"Lock, Stock and Two Smoking Barrels"
101,Leon: The Professional
102,Open Hearts
103,Taxi Driver
104,Run Lola Run
105,Back to the Future
106,Predator
107,Snatch
108,Three Colors: Blue
109,Three Colors: White
110,Three Colors: Red
111,Scarface
112,Italian for Beginners
113,"Spring, Summer, Fall, Winter... and Spring"
114,Pretty Woman
115,The Big Lebowski
116,Match Point
117,The Untouchables
118,Charlie and the Chocolate Factory
120,The Lord of the Rings: The Fellowship of the Ring
121,The Lord of the Rings: The Two Towers
122,The Lord of the Rings: The Return of the King
123,The Lord of the Rings
124,No End
127,Blind Chance
128,Princess Mononoke
129,Spirited Away
132,The Rolling Stones: Gimme Shelter
133,Primary
134,"O Brother, Where Art Thou?"
135,Dont Look Back
136,Freaks
137,Groundhog Day
138,Dracula
139,Mifune
140,Bad Education
141,Donnie Darko
142,Brokeback Mountain
143,All Quiet on the Western Front
144,Wings of Desire
145,Breaking the Waves
146,"Crouching Tiger, Hidden Dragon"
147,The 400 Blows
148,The Secret Life of Words
149,Akira
150,48 Hrs.
152,Star Trek: The Motion Picture
153,Lost in Translation
154,Star Trek II: The Wrath of Khan
155,The Dark Knight
156,Wilbur Wants to Kill Himself
157,Star Trek III: The Search for Spock
158,Knockin' on Heaven's Door
159,Maybe... Maybe Not
160,The Arrival of a Train at La Ciotat
161,Ocean's Eleven
162,Edward Scissorhands
163,Ocean's Twelve
164,Breakfast at Tiffany's
165,Back to the Future Part II
166,The Party
167,K-PAX
168,Star Trek IV: The Voyage Home
169,Predator 2
170,28 Days Later
171,The Party 2
172,Star Trek V: The Final Frontier
173,"20,000 Leagues Under the Sea"
174,Star Trek VI: The Undiscovered Country
175,The Big Blue
176,Saw
177,The Fisher King
178,Blown Away
179,The Interpreter
180,Minority Report
182,The Good German
183,The Wizard
184,Jackie Brown
185,A Clockwork Orange
186,Lucky Number Slevin
187,Sin City
